"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALARIO TOTAL","Promedio","","","","","","","","","",""
"Aguas Buenas","7","Administracion Pública                   ","92","10","  385 ","  1,830,090 ","  4,753 ","","","","","","","","","",""
"Aguas Buenas","7","Otros (Establecimientos no Clasificados) ","99","0","0","0","0","","","","","","","","","",""
"Aibonito","9","Total Municipio Segundo Trimestre 2020","","317","  5,443 ","  38,295,814 ","  7,035 ","","","","","","","","","",""
"Aibonito","9","Agricultura, Bosque, Pesca y Caza        ","11","28","  137 ","  503,831 ","  3,678 ","","","","","","","","","",""
"Aibonito","9","Mineria                                  ","21","0","0","0","0","","","","","","","","","",""
"Aibonito","9","Electricidad, Agua y Gas                 ","22","1","*","*","*","","","","","","","","","",""
"Aibonito","9","Construcción                             ","23","9","  17 ","  53,572 ","  3,214 ","","","","","","","","","",""
"Aibonito","9","Manufactura                              ","31-33","24","  1,369 ","  13,159,356 ","  9,610 ","","","","","","","","","",""
"Aibonito","9","Alimentos                                ","311","12","*","*","*","","","","","","","","","",""
"Aibonito","9","Productos de Tabaco y Bebidas            ","312","2","*","*","*","","","","","","","","","",""
"Aibonito","9","Textiles                                 ","313","0","0","0","0","","","","","","","","","",""
"Aibonito","9","Productos Textiles Excepto Ropa          ","314","0","0","0","0","","","","","","","","","",""
"Aibonito","9","Ropa                                     ","315","1","*","*","*","","","","","","","","","",""
"Aibonito","9","Cuero y Productos Relacionados           ","316","0","0","0","0","","","","","","","","","",""
"Aibonito","9","Productos de Madera                      ","321","0","0","0","0","","","","","","","","","",""
"Aibonito","9","Papel                                    ","322","0","0","0","0","","","","","","","","","",""
"Aibonito","9","Imprenta e Industrias Relacionadas       ","323","1","*","*","*","","","","","","","","","",""
"Aibonito","9","Productos de Petróleo y Carbón           ","324","0","0","0","0","","","","","","","","","",""
"Aibonito","9","Productos Químicos                       ","325","1","*","*","*","","","","","","","","","",""
"Aibonito","9","Productos de Goma y Plásticos            ","326","0","0","0","0","","","","","","","","","",""
"Aibonito","9","Productos Minerales no Metálicos         ","327","2","*","*","*","","","","","","","","","",""
"Aibonito","9","Industrias de Materiales Primarios       ","331","0","0","0","0","","","","","","","","","",""
"Aibonito","9","Productos de Metal                       ","332","0","0","0","0","","","","","","","","","",""
"Aibonito","9","Maquinaria                               ","333","0","0","0","0","","","","","","","","","",""
"Aibonito","9","Computadora y Productos Electrónicos    ","334","0","0","0","0","","","","","","","","","",""
"Aibonito","9","Equipo y Aparatos Eléctricos             ","335","1","*","*","*","","","","","","","","","",""
"Aibonito","9","Equipo de Transportación                 ","336","1","*","*","*","","","","","","","","","",""
"Aibonito","9","Muebles y Productos Relacionados         ","337","2","*","*","*","","","","","","","","","",""
"Aibonito","9","Industrias Manufactureras Misceláneas    ","339","1","*","*","*","","","","","","","","","",""
"Aibonito","9","Comercio al por Mayor                    ","42","9","  53 ","  294,418 ","  5,520 ","","","","","","","","","",""
"Aibonito","9","Comercio al Detal                        ","44-45","70","  588 ","  2,349,908 ","  3,999 ","","","","","","","","","",""
"Aibonito","9","Transportación y Almacenamiento           ","48-49","9","  50 ","  385,583 ","  7,712 ","","","","","","","","","",""
"Aibonito","9","Información                              ","51","0","0","0","0","","","","","","","","","",""
"Aibonito","9","Finanzas y Seguros                       ","52","8","  148 ","  1,325,061 ","  8,953 ","","","","","","","","","",""
"Aibonito","9","Bienes Raíces, Renta o Arrendamiento     ","53","3","  12 ","  66,760 ","  5,563 ","","","","","","","","","",""
"Aibonito","9","Servicios Profesionales y Técnicos       ","54","22","  43 ","  264,600 ","  6,153 ","","","","","","","","","",""
"Aibonito","9","Gerencia de Compañías y Empresas         ","55","0","0","0","0","","","","","","","","","",""
"Aibonito","9","Servicios Adm. y Desperdicios Sólidos    ","56","5","*","*","*","","","","","","","","","",""
"Aibonito","9","Servicios Educativos                     ","61","3","  427 ","  2,744,895 ","  6,423 ","","","","","","","","","",""
"Aibonito","9","Servicios de Salud y Asistencia Social   ","62","64","  1,527 ","  11,552,988 ","  7,567 ","","","","","","","","","",""
"Aibonito","9","Arte, Entretenimiento y Recreación       ","71","1","*","*","*","","","","","","","","","",""
"Aibonito","9","Alojamiento y Servicios de Alimentos     ","72","30","  224 ","  471,500 ","  2,108 ","","","","","","","","","",""
"Aibonito","9","Otros Servicios Excepto Adm. Pública     ","81","16","  37 ","  121,483 ","  3,254 ","","","","","","","","","",""
"Aibonito","9","Administracion Pública                   ","92","15","  721 ","  4,580,006 ","  6,355 ","","","","","","","","","",""
"Aibonito","9","Otros (Establecimientos no Clasificados) ","99","0","0","0","0","","","","","","","","","",""
