"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALRIO Total Municipio Segundo Trimestre 2019","Promedio"
"Arroyo","15","Arte, Entretenimiento y Recreación       ","71","1","*","*","*"
"Arroyo","15","Alojamiento y Servicios de Alimentos     ","72","15","143","482963","3377"
"Arroyo","15","Otros Servicios Excepto Adm. Pública     ","81","6","15","54691","3646"
"Arroyo","15","Administración Pública                   ","92","10","445","2209641","4969"
"Arroyo","15","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Barceloneta","17","Total Municipio Cuarto Trimestre 2020 ","","267","10006","80708898","8066"
"Barceloneta","17","Agricultura, Bosque, Pesca y Caza        ","11","2","*","*","*"
"Barceloneta","17","Mineria                                  ","21","0","0","0","0"
"Barceloneta","17","Electricidad, Agua y Gas                 ","22","1","*","*","*"
"Barceloneta","17","Construcción                             ","23","24","503","3165955","6298"
"Barceloneta","17","Manufactura                              ","31-33","16","2753","36679157","13323"
"Barceloneta","17","Alimentos                                ","311","5","*","*","*"
"Barceloneta","17","Productos de Tabaco y Bebidas            ","312","0","0","0","0"
"Barceloneta","17","Textiles                                 ","313","0","0","0","0"
"Barceloneta","17","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Barceloneta","17","Ropa                                     ","315","0","0","0","0"
"Barceloneta","17","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Barceloneta","17","Productos de Madera                      ","321","0","0","0","0"
"Barceloneta","17","Papel                                    ","322","0","0","0","0"
"Barceloneta","17","Imprenta e Industrias Relacionadas       ","323","0","0","0","0"
"Barceloneta","17","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Barceloneta","17","Productos Químicos                       ","325","5","1378","25541582","18531"
"Barceloneta","17","Productos de Goma y Plásticos            ","326","1","*","*","*"
"Barceloneta","17","Productos Minerales no Metálicos         ","327","0","0","0","0"
"Barceloneta","17","Industrias de Materiales Primarios       ","331","1","*","*","*"
"Barceloneta","17","Productos de Metal                       ","332","1","*","*","*"
"Barceloneta","17","Maquinaria                               ","333","1","*","*","*"
"Barceloneta","17","Computadora y Productos Electrónicos    ","334","1","*","*","*"
"Barceloneta","17","Equipo y Aparatos Eléctricos             ","335","0","0","0","0"
"Barceloneta","17","Equipo de Transportación                 ","336","0","0","0","0"
"Barceloneta","17","Muebles y Productos Relacionados         ","337","1","*","*","*"
"Barceloneta","17","Industrias Manufactureras Misceláneas    ","339","0","0","0","0"
