town_code,naics,establishments,year,town_name,region
3,44,2.0,2013,Aguada,Western
3,44,2.0,2013,Aguada,Western
3,45,6.0,2013,Aguada,Western
3,45,5.0,2013,Aguada,Western
3,45,2.0,2013,Aguada,Western
3,45,2.0,2013,Aguada,Western
3,45,1.0,2013,Aguada,Western
3,45,1.0,2013,Aguada,Western
3,45,1.0,2013,Aguada,Western
3,45,1.0,2013,Aguada,Western
3,45,1.0,2013,Aguada,Western
3,45,1.0,2013,Aguada,Western
3,45,1.0,2013,Aguada,Western
3,45,1.0,2013,Aguada,Western
3,45,1.0,2013,Aguada,Western
3,45,2.0,2013,Aguada,Western
3,45,1.0,2013,Aguada,Western
3,45,1.0,2013,Aguada,Western
3,45,1.0,2013,Aguada,Western
3,45,1.0,2013,Aguada,Western
3,45,1.0,2013,Aguada,Western
3,45,1.0,2013,Aguada,Western
3,45,10.0,2013,Aguada,Western
3,45,3.0,2013,Aguada,Western
3,45,2.0,2013,Aguada,Western
3,45,2.0,2013,Aguada,Western
3,45,1.0,2013,Aguada,Western
3,45,1.0,2013,Aguada,Western
3,45,7.0,2013,Aguada,Western
3,45,1.0,2013,Aguada,Western
3,45,1.0,2013,Aguada,Western
3,45,6.0,2013,Aguada,Western
3,45,6.0,2013,Aguada,Western
3,45,3.0,2013,Aguada,Western
3,45,3.0,2013,Aguada,Western
3,45,3.0,2013,Aguada,Western
3,45,3.0,2013,Aguada,Western
3,48,4.0,2013,Aguada,Western
3,48,2.0,2013,Aguada,Western
3,48,2.0,2013,Aguada,Western
3,48,2.0,2013,Aguada,Western
3,48,2.0,2013,Aguada,Western
3,48,2.0,2013,Aguada,Western
3,48,1.0,2013,Aguada,Western
3,48,1.0,2013,Aguada,Western
3,48,1.0,2013,Aguada,Western
3,48,1.0,2013,Aguada,Western
3,48,1.0,2013,Aguada,Western
3,48,1.0,2013,Aguada,Western
3,52,11.0,2013,Aguada,Western
3,52,6.0,2013,Aguada,Western
3,52,2.0,2013,Aguada,Western
3,52,1.0,2013,Aguada,Western
3,52,1.0,2013,Aguada,Western
3,52,1.0,2013,Aguada,Western
3,52,1.0,2013,Aguada,Western
3,52,4.0,2013,Aguada,Western
3,52,1.0,2013,Aguada,Western
3,52,1.0,2013,Aguada,Western
3,52,3.0,2013,Aguada,Western
3,52,1.0,2013,Aguada,Western
3,52,2.0,2013,Aguada,Western
3,52,1.0,2013,Aguada,Western
3,52,1.0,2013,Aguada,Western
3,52,1.0,2013,Aguada,Western
3,52,1.0,2013,Aguada,Western
3,52,4.0,2013,Aguada,Western
3,52,4.0,2013,Aguada,Western
3,52,4.0,2013,Aguada,Western
3,52,4.0,2013,Aguada,Western
3,53,7.0,2013,Aguada,Western
3,53,4.0,2013,Aguada,Western
3,53,1.0,2013,Aguada,Western
3,53,1.0,2013,Aguada,Western
3,53,1.0,2013,Aguada,Western
3,53,3.0,2013,Aguada,Western
3,53,3.0,2013,Aguada,Western
3,53,3.0,2013,Aguada,Western
3,53,3.0,2013,Aguada,Western
3,53,1.0,2013,Aguada,Western
3,53,1.0,2013,Aguada,Western
3,53,1.0,2013,Aguada,Western
3,53,2.0,2013,Aguada,Western
3,53,2.0,2013,Aguada,Western
3,53,2.0,2013,Aguada,Western
3,54,32.0,2013,Aguada,Western
3,54,32.0,2013,Aguada,Western
3,54,12.0,2013,Aguada,Western
3,54,11.0,2013,Aguada,Western
