"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALARIO Total Municipio Tercer Trimestre 2022","Promedio"
"Añasco","11","Servicios Adm. y Desperdicios Sólidos    ","56","5","8","52279","6273"
"Añasco","11","Servicios Educativos                     ","61","4","413","3214027","7776"
"Añasco","11","Servicios de Salud y Asistencia Social   ","62","51","254","1333811","5244"
"Añasco","11","Arte, Entretenimiento y Recreación       ","71","1","*","*","*"
"Añasco","11","Alojamiento y Servicios de Alimentos     ","72","40","581","1998732","3438"
"Añasco","11","Otros Servicios Excepto Adm. Pública     ","81","26","126","499014","3960"
"Añasco","11","Administración Pública                   ","92","11","531","2806635","5289"
"Añasco","11","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Arecibo","13","Total Municipio Cuarto Trimestre 2022 ","","1173","22618","182051144","8049"
"Arecibo","13","Agricultura, Bosque, Pesca y Caza        ","11","56","447","1722666","3851"
"Arecibo","13","Mineria                                  ","21","2","*","*","*"
"Arecibo","13","Electricidad, Agua y Gas                 ","22","3","542","8667752","16002"
"Arecibo","13","Construcción                             ","23","57","547","3275186","5988"
"Arecibo","13","Manufactura                              ","31-33","49","2831","26504599","9363"
"Arecibo","13","Alimentos                                ","311","20","333","1776051","5328"
"Arecibo","13","Productos de Tabaco y Bebidas            ","312","1","*","*","*"
"Arecibo","13","Textiles                                 ","313","0","0","0","0"
"Arecibo","13","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Arecibo","13","Ropa                                     ","315","1","*","*","*"
"Arecibo","13","Cuero y Productos Relacionados           ","316","1","*","*","*"
"Arecibo","13","Productos de Madera                      ","321","0","0","0","0"
"Arecibo","13","Papel                                    ","322","1","*","*","*"
"Arecibo","13","Imprenta e Industrias Relacionadas       ","323","4","6","24039","4007"
"Arecibo","13","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Arecibo","13","Productos Químicos                       ","325","1","*","*","*"
"Arecibo","13","Productos de Goma y Plásticos            ","326","1","*","*","*"
"Arecibo","13","Productos Minerales no Metálicos         ","327","2","*","*","*"
"Arecibo","13","Industrias de Materiales Primarios       ","331","2","*","*","*"
"Arecibo","13","Productos de Metal                       ","332","6","7","36212","5173"
"Arecibo","13","Maquinaria                               ","333","1","*","*","*"
"Arecibo","13","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Arecibo","13","Equipo y Aparatos Eléctricos             ","335","3","*","*","*"
"Arecibo","13","Equipo de Transportación                 ","336","0","0","0","0"
"Arecibo","13","Muebles y Productos Relacionados         ","337","4","15","95355","6357"
"Arecibo","13","Industrias Manufactureras Misceláneas    ","339","1","*","*","*"
"Arecibo","13","Comercio al por Mayor                    ","42","40","211","1392685","6600"
"Arecibo","13","Comercio al Detal                        ","44-45","256","2461","15411705","6262"
"Arecibo","13","Transportación y Almacenamiento           ","48-49","29","302","2758704","9145"
"Arecibo","13","Información                              ","51","13","195","1490822","7632"
"Arecibo","13","Finanzas y Seguros                       ","52","35","564","5834510","10339"
"Arecibo","13","Bienes Raíces, Renta o Arrendamiento     ","53","31","89","941773","10542"
"Arecibo","13","Servicios Profesionales y Técnicos       ","54","74","311","3093721","9948"
"Arecibo","13","Gerencia de Companías y Empresas         ","55","2","*","*","*"
"Arecibo","13","Servicios Adm. y Desperdicios Sólidos    ","56","41","366","2453084","6696"
"Arecibo","13","Servicios Educativos                     ","61","22","3160","26340939","8335"
"Arecibo","13","Servicios de Salud y Asistencia Social   ","62","258","3879","26808103","6911"
"Arecibo","13","Arte, Entretenimiento y Recreación       ","71","5","32","135966","4205"
"Arecibo","13","Alojamiento y Servicios de Alimentos     ","72","107","1283","4626304","3605"
"Arecibo","13","Otros Servicios Excepto Adm. Pública     ","81","58","305","1450634","4756"
"Arecibo","13","Administración Pública                   ","92","35","4742","45351705","9563"
"Arecibo","13","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Arroyo","15","Total Municipio Cuarto Trimestre 2022 ","","106","2686","21822826","8124"
"Arroyo","15","Agricultura, Bosque, Pesca y Caza        ","11","5","4","4612","1153"
