"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALRIO Total Municipio Primr Trimestre 2022","Promedio"
"Añasco","11","Papel                                    ","322","0","0","0","0"
"Añasco","11","Imprenta e Industrias Relacionadas       ","323","2","*","*","*"
"Añasco","11","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Añasco","11","Productos Químicos                       ","325","0","0","0","0"
"Añasco","11","Productos de Goma y Plásticos            ","326","1","*","*","*"
"Añasco","11","Productos Minerales no Metálicos         ","327","0","0","0","0"
"Añasco","11","Industrias de Materiales Primarios       ","331","1","*","*","*"
"Añasco","11","Productos de Metal                       ","332","6","  53 ","  203,461 ","  3,839 "
"Añasco","11","Maquinaria                               ","333","1","*","*","*"
"Añasco","11","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Añasco","11","Equipo y Aparatos Eléctricos             ","335","1","*","*","*"
"Añasco","11","Equipo de Transportación                 ","336","0","0","0","0"
"Añasco","11","Muebles y Productos Relacionados         ","337","2","*","*","*"
"Añasco","11","Industrias Manufactureras Misceláneas    ","339","7","  2,725 ","  29,784,329 ","  10,930 "
"Añasco","11","Comercio al por Mayor                    ","42","8","  86 ","  599,542 ","  6,971 "
"Añasco","11","Comercio al Detal                        ","44-45","53","  549 ","  2,485,869 ","  4,531 "
"Añasco","11","Transportación y Almacenamiento           ","48-49","3","  49 ","  332,821 ","  6,839 "
"Añasco","11","Información                              ","51","3","  21 ","  224,228 ","  10,678 "
"Añasco","11","Finanzas y Seguros                       ","52","3","*","*","*"
"Añasco","11","Bienes Raíces, Renta o Arrendamiento     ","53","9","  24 ","  103,995 ","  4,394 "
"Añasco","11","Servicios Profesionales y Técnicos       ","54","11","  36 ","  290,614 ","  7,999 "
"Añasco","11","Gerencia de Companías y Empresas         ","55","0","0","0","0"
"Añasco","11","Servicios Adm. y Desperdicios Sólidos    ","56","5","  9 ","  42,918 ","  4,769 "
"Añasco","11","Servicios Educativos                     ","61","4","360","2107415 ","5859 "
"Añasco","11","Servicios de Salud y Asistencia Social   ","62","49","  238 ","  1,021,626 ","  4,299 "
"Añasco","11","Arte, Entretenimiento y Recreación       ","71","1","*","*","*"
"Añasco","11","Alojamiento y Servicios de Alimentos     ","72","34","  496 ","  1,568,535 ","  3,162 "
"Añasco","11","Otros Servicios Excepto Adm. Pública     ","81","24","  95 ","  344,307 ","  3,637 "
"Añasco","11","Administración Pública                   ","92","11","510","2145843 ","4210 "
"Añasco","11","Otros (Establecimientos no Clasificados) ","99","2","*","*","*"
"Arecibo","13","Total Municipio Primer Trimestre 2022 ","","1,138","  21,780 ","  143,304,151 ","  6,580 "
"Arecibo","13","Agricultura, Bosque, Pesca y Caza        ","11","56","  454 ","  1,494,443 ","  3,292 "
"Arecibo","13","Mineria                                  ","21","2","*","*","*"
"Arecibo","13","Electricidad, Agua y Gas                 ","22","3","  546 ","  6,044,807 ","  11,064 "
"Arecibo","13","Construcción                             ","23","53","  520 ","  2,881,884 ","  5,546 "
"Arecibo","13","Manufactura                              ","31-33","46","  3,137 ","  24,919,098 ","  7,943 "
"Arecibo","13","Alimentos                                ","311","20","  347 ","  1,536,913 ","  4,433 "
"Arecibo","13","Productos de Tabaco y Bebidas            ","312","1","*","*","*"
"Arecibo","13","Textiles                                 ","313","0","0","0","0"
"Arecibo","13","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Arecibo","13","Ropa                                     ","315","1","*","*","*"
"Arecibo","13","Cuero y Productos Relacionados           ","316","1","*","*","*"
"Arecibo","13","Productos de Madera                      ","321","0","0","0","0"
"Arecibo","13","Papel                                    ","322","1","*","*","*"
"Arecibo","13","Imprenta e Industrias Relacionadas       ","323","2","*","*","*"
"Arecibo","13","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Arecibo","13","Productos Químicos                       ","325","1","*","*","*"
"Arecibo","13","Productos de Goma y Plásticos            ","326","1","*","*","*"
"Arecibo","13","Productos Minerales no Metálicos         ","327","2","*","*","*"
"Arecibo","13","Industrias de Materiales Primarios       ","331","2","*","*","*"
"Arecibo","13","Productos de Metal                       ","332","6","  13 ","  45,975 ","  3,537 "
"Arecibo","13","Maquinaria                               ","333","1","*","*","*"
"Arecibo","13","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Arecibo","13","Equipo y Aparatos Eléctricos             ","335","3","*","*","*"
"Arecibo","13","Equipo de Transportación                 ","336","0","0","0","0"
"Arecibo","13","Muebles y Productos Relacionados         ","337","3","  8 ","  55,353 ","  6,919 "
"Arecibo","13","Industrias Manufactureras Misceláneas    ","339","1","*","*","*"
"Arecibo","13","Comercio al por Mayor                    ","42","40","  200 ","  1,134,040 ","  5,661 "
"Arecibo","13","Comercio al Detal                        ","44-45","244","  2,364 ","  12,783,950 ","  5,407 "
"Arecibo","13","Transportación y Almacenamiento           ","48-49","30","  284 ","  2,336,309 ","  8,236 "
"Arecibo","13","Información                              ","51","12","  167 ","  1,167,657 ","  7,006 "
"Arecibo","13","Finanzas y Seguros                       ","52","35","  559 ","  4,310,006 ","  7,706 "
"Arecibo","13","Bienes Raíces, Renta o Arrendamiento     ","53","30","  83 ","  723,673 ","  8,719 "
"Arecibo","13","Servicios Profesionales y Técnicos       ","54","69","  253 ","  2,251,144 ","  8,886 "
"Arecibo","13","Gerencia de Companías y Empresas         ","55","2","*","*","*"
"Arecibo","13","Servicios Adm. y Desperdicios Sólidos    ","56","35","  378 ","  2,297,956 ","  6,079 "
"Arecibo","13","Servicios Educativos                     ","61","21","3128","20015439 ","6398 "
"Arecibo","13","Servicios de Salud y Asistencia Social   ","62","251","  3,697 ","  23,054,820 ","  6,237 "
"Arecibo","13","Arte, Entretenimiento y Recreación       ","71","4","  42 ","  128,394 ","  3,057 "
"Arecibo","13","Alojamiento y Servicios de Alimentos     ","72","96","  1,165 ","  3,729,871 ","  3,201 "
"Arecibo","13","Otros Servicios Excepto Adm. Pública     ","81","54","  287 ","  1,044,352 ","  3,643 "
"Arecibo","13","Administración Pública                   ","92","38","4348","32334302 ","7436 "
"Arecibo","13","Otros (Establecimientos no Clasificados) ","99","17","  61 ","  294,626 ","  4,804 "
"Arroyo","15","Total Municipio Primer Trimestre 2022 ","","101","  2,577 ","  19,515,065 ","  7,573 "
"Arroyo","15","Agricultura, Bosque, Pesca y Caza        ","11","5","  6 ","  19,790 ","  3,298 "
"Arroyo","15","Mineria                                  ","21","0","0","0","0"
"Arroyo","15","Electricidad, Agua y Gas                 ","22","0","0","0","0"
"Arroyo","15","Construcción                             ","23","5","  35 ","  137,512 ","  3,892 "
"Arroyo","15","Manufactura                              ","31-33","7","*","*","*"
"Arroyo","15","Alimentos                                ","311","0","0","0","0"
"Arroyo","15","Productos de Tabaco y Bebidas            ","312","0","0","0","0"
"Arroyo","15","Textiles                                 ","313","0","0","0","0"
"Arroyo","15","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Arroyo","15","Ropa                                     ","315","1","*","*","*"
"Arroyo","15","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Arroyo","15","Productos de Madera                      ","321","0","0","0","0"
"Arroyo","15","Papel                                    ","322","0","0","0","0"
"Arroyo","15","Imprenta e Industrias Relacionadas       ","323","0","0","0","0"
"Arroyo","15","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Arroyo","15","Productos Químicos                       ","325","1","*","*","*"
"Arroyo","15","Productos de Goma y Plásticos            ","326","0","0","0","0"
"Arroyo","15","Productos Minerales no Metálicos         ","327","1","*","*","*"
"Arroyo","15","Industrias de Materiales Primarios       ","331","0","0","0","0"
"Arroyo","15","Productos de Metal                       ","332","1","*","*","*"
"Arroyo","15","Maquinaria                               ","333","1","*","*","*"
"Arroyo","15","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Arroyo","15","Equipo y Aparatos Eléctricos             ","335","1","*","*","*"
"Arroyo","15","Equipo de Transportación                 ","336","0","0","0","0"
"Arroyo","15","Muebles y Productos Relacionados         ","337","0","0","0","0"
"Arroyo","15","Industrias Manufactureras Misceláneas    ","339","1","*","*","*"
"Arroyo","15","Comercio al por Mayor                    ","42","0","0","0","0"
"Arroyo","15","Comercio al Detal                        ","44-45","21","  446 ","  1,785,827 ","  4,001 "
"Arroyo","15","Transportación y Almacenamiento           ","48-49","1","*","*","*"
"Arroyo","15","Información                              ","51","1","*","*","*"
"Arroyo","15","Finanzas y Seguros                       ","52","2","*","*","*"
"Arroyo","15","Bienes Raíces, Renta o Arrendamiento     ","53","5","  6 ","  43,468 ","  7,245 "
"Arroyo","15","Servicios Profesionales y Técnicos       ","54","1","*","*","*"
