"fipstate","fipscty","naics","empflag","emp","qp1","ap","est","n1_4","n5_9","n10_19","n20_49","n50_99","n100_249","n250_499","n500_999","n1000","n1000_1","n1000_2","n1000_3","n1000_4","censtate","cencty"
"72","001","713940","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","72----",,89,161,673,16,10,4,1,1,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","721///","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","7211//","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","72111/","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","721110","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","722///","B",0,0,0,15,10,3,1,1,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","7221//","A",0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","72211/","A",0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","722110","A",0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","7222//",,68,125,527,9,4,3,1,1,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","72221/",,68,125,527,9,4,3,1,1,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","722211",,68,125,527,9,4,3,1,1,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","7223//","A",0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","72231/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","722310","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","72232/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","722320","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","72233/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","722330","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","7224//","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","72241/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","722410","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","81----",,16,35,153,10,10,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","811///","A",0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","8111//","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","81111/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","811111","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","8113//","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","81131/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","811310","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","812///","A",0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","8121//","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","81211/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","812112","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","8123//","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","81231/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","812310","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","8129//","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","81299/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","812990","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
